#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.LongSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"3","7-5-2015 10:31:40","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635665915000000000/"
"5","7-5-2015 10:31:20","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635665914800000000/"
"6","7-5-2015 10:31:00","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635665914600000000/"
"11","7-5-2015 10:30:40","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635665914400000000/"
"14","7-5-2015 10:30:20","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635665914200000000/"
"16","7-5-2015 10:30:00","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635665914000000000/"
"18","7-5-2015 10:29:40","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635665913800000000/"
"21","7-5-2015 10:29:20","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635665913600000000/"
"20","7-5-2015 10:29:00","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635665913400000000/"
"21","7-5-2015 10:28:40","power.power.average","watt","Current power usage","OlioWeb0","VirtualMachine-vm-778","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=power.power.average\\635665913200000000/"
