Time	Watts	AveWatts	Volts	Amps	WattHrs	AveWttHrs	Cost	Avg Kwh	Mo Cost	Max Wts	Max Vlt	Max Amp	Min Wts	Min Vlt	Min Amp	Pwr Fct	Dty Cyc	Pwr Cyc	Log Start	Log Stop

42131.49355084	120.80	120.80	224.200	0.508	14692.30	14692.30	0.000	74.58	0.000	121.00	0.00	0.000	112.00	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	1.000000000000000000	0.000000000000000000
42131.49378251	120.20	120.50	224.700	0.549	14693.00	14692.65	0.000	74.58	0.000	120.80	0.00	0.000	120.20	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.49401403	120.00	120.33	224.200	0.520	14693.70	14693.00	0.000	74.58	0.000	120.60	0.00	0.000	120.00	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.49424569	120.40	120.35	224.600	0.492	14694.30	14693.33	0.000	74.58	0.000	120.80	0.00	0.000	119.80	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.49447720	119.80	120.24	224.200	0.514	14695.00	14693.66	0.000	74.58	0.000	120.40	0.00	0.000	119.80	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.49470873	120.50	120.28	224.500	0.519	14695.70	14694.00	0.000	74.58	0.000	120.50	0.00	0.000	119.80	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.49494042	123.30	120.71	224.800	0.564	14696.30	14694.33	0.000	74.58	0.000	137.70	0.00	0.000	119.20	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.49517192	142.70	123.46	225.200	0.598	14697.10	14694.68	0.000	74.58	0.000	150.00	0.00	0.000	123.30	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.49540343	137.50	125.02	225.300	0.568	14697.90	14695.03	0.000	74.58	0.000	146.20	0.00	0.000	132.50	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.49563494	139.60	126.48	224.600	0.581	14698.70	14695.40	0.000	74.58	0.000	139.80	0.00	0.000	137.40	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.49586650	135.40	127.29	223.900	0.541	14699.40	14695.76	0.000	74.58	0.000	139.90	0.00	0.000	130.80	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.49609806	136.00	128.02	223.900	0.555	14700.20	14696.13	0.000	74.58	0.000	136.20	0.00	0.000	127.60	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.49632963	133.30	128.42	224.300	0.558	14700.90	14696.50	0.000	74.58	0.000	136.00	0.00	0.000	126.80	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.49656113	134.00	128.82	224.400	0.590	14701.60	14696.86	0.000	74.58	0.000	134.10	0.00	0.000	126.20	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.49679264	129.90	128.89	224.800	0.542	14702.40	14697.23	0.000	74.59	0.000	141.20	0.00	0.000	129.30	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.49702418	126.20	128.72	225.200	0.520	14703.10	14697.60	0.000	74.59	0.000	137.80	0.00	0.000	125.50	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.49725567	135.10	129.10	224.600	0.560	14703.80	14697.96	0.000	74.59	0.000	137.00	0.00	0.000	126.20	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.49748714	147.70	130.13	224.600	0.595	14704.60	14698.33	0.000	74.59	0.000	148.00	0.00	0.000	127.00	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
